Dataset,MZE,MAE,Time
contact-lenses,0.3722221,0.46111113333333337,11.51203536666667
pasture,0.32592563333333335,0.3296293666666667,10.174641566666663
squash-stored,0.37948699999999996,0.3461536666666667,10.401356633333332
squash-unstored,0.26923050000000004,0.2615382,10.372744966666668
tae,0.3991227666666667,0.46140346666666676,22.42452116666667
newthyroid,0.032098966666666666,0.029012566666666663,11.358926233333335
balance-scale,0.0008492333333333333,0.0012738666666666668,31.24647893333334
SWD,0.42946666666666666,0.44506666666666655,1825.7437655000003
car,0.011959899999999997,0.012654333333333332,133.54219316666666
bondrate,0.4355555999999999,0.6133333666666665,11.688867266666668
toy,0.02311116666666667,0.02355556666666667,17.425449833333335
eucalyptus,0.3623189,0.39510870000000003,173.19751843333339
LEV,0.3734666666666667,0.4101333333333333,3220.4609515999996
automobile,0.31730776666666666,0.40320513333333335,23.098012266666668
winequality-red,0.3725,0.4174999999999999,373.63415523333333
ESL,0.28715843333333335,0.3057378,53.13087926666667
ERA,0.7506666666666665,1.2189333333333334,9959.505586066667
