Dataset,MZE,MAE,Time
contact-lenses,0.45555563333333343,13.319508066666668,0.3222219666666667
pasture,0.33703679999999997,12.320398633333332,0.3948716000000001
squash-stored,0.43333329999999987,15.77442276666667,0.2692305666666667
squash-unstored,0.2820511,18.777530533333334,0.4280702333333333
tae,0.5210526,15.635985033333332,0.03765456666666666
newthyroid,0.038271833333333324,12.392757933333334,0.031210300000000003
balance-scale,0.030573366666666664,30.060129566666664,0.42933333333333334
SWD,0.4777333333333333,59.44866956666667,0.013966099999999999
car,0.015432199999999998,205.55520556666667,0.43333343333333324
bondrate,0.5711111,13.371299466666665,0.05377773333333335
toy,0.05688883333333335,18.581112699999995,0.4351449
eucalyptus,0.5054348333333334,170.25838000000002,0.36720000000000014
LEV,0.4061333333333334,55.94992843333333,0.26538463333333334
automobile,0.39294866666666667,31.47892486666667,0.3616666666666666
winequality-red,0.41899999999999993,269.2193336333333,0.31994533333333336
ESL,0.3434426333333333,27.887315700000002,0.8012
ERA,1.9103999999999999,106.7197542,
